Esquema,Tabla,Columna,Tipo,Largo,Nulable,Pos
dbo,dtproperties,id,int,,NO,1
dbo,dtproperties,objectid,int,,YES,2
dbo,dtproperties,property,varchar,64.0,NO,3
dbo,dtproperties,value,varchar,255.0,YES,4
dbo,dtproperties,uvalue,nvarchar,255.0,YES,5
dbo,dtproperties,lvalue,image,2147483647.0,YES,6
dbo,dtproperties,version,int,,NO,7
softland,aw_vsnp_ValorHist,MesAno,varchar,7.0,YES,1
softland,aw_vsnp_ValorHist,DepMes,float,,YES,2
softland,aw_vsnp_ValorHist,DepAcum,float,,YES,3
softland,aw_vsnp_ValorHist,DepReexAct,float,,YES,4
softland,aw_vsnp_ValorHist,DepRevAct,float,,YES,5
softland,aw_vsnp_ValorHist,ValorAct,float,,YES,6
softland,aw_vsnp_ValorHist,ActivoRev,float,,YES,7
softland,aw_vsnp_ValorHist,VidaUtilRem,float,,YES,8
softland,awcapturadef,Proceso,varchar,50.0,NO,1
softland,awcapturadef,Campo,varchar,50.0,NO,2
softland,awcapturadef,Descripcion,varchar,50.0,YES,3
softland,awcapturadef,Tipo,int,,YES,4
softland,awcapturadef,Largo,int,,YES,5
softland,awcapturadef,Orden,int,,YES,6
softland,awcapturadef,Exigido,int,,YES,7
softland,awcapturadef,ValorPorDefecto,varchar,255.0,YES,8
softland,awcapturadef,ConjuntoValorFijo,varchar,50.0,YES,9
softland,awcapturadef,Query,text,2147483647.0,YES,10
softland,awcapturarelacion,Proceso,varchar,50.0,NO,1
softland,awcapturarelacion,Campo,varchar,50.0,NO,2
softland,awcapturarelacion,Descripcion,varchar,50.0,YES,3
softland,awcapturarelacion,ColumnaTXT,varchar,50.0,YES,4
softland,awcapturarelacion,ValorFijo,varchar,50.0,YES,5
softland,awdetlicont,CodAux,varchar,10.0,NO,1
softland,awdetlicont,TtdCod,varchar,2.0,NO,2
softland,awdetlicont,NumDoc,float,,NO,3
softland,awdetlicont,CodAct,varchar,20.0,NO,4
softland,awdetlicont,NumColDet,int,,NO,5
softland,awdetlicont,DliMto,float,,YES,6
softland,awdoccont,CodAux,varchar,10.0,NO,1
softland,awdoccont,TtdCod,varchar,2.0,NO,2
softland,awdoccont,NumDoc,float,,NO,3
softland,awdoccont,CodAct,varchar,20.0,NO,4
softland,awdoccont,AreaCod,varchar,3.0,NO,5
softland,awdoccont,PctCod,varchar,18.0,NO,6
softland,awdoccont,CpbFec,datetime,,YES,7
softland,awdoccont,CpbMes,varchar,2.0,NO,8
softland,awdoccont,UbicCod,varchar,3.0,NO,9
softland,awdoccont,CajCod,varchar,10.0,NO,10
softland,awdoccont,IfCod,varchar,3.0,NO,11
softland,awdoccont,MovIfCant,float,,YES,12
softland,awdoccont,DgaCod,varchar,8.0,NO,13
softland,awdoccont,MovDgCant,float,,YES,14
softland,awdoccont,CcCod,varchar,8.0,NO,15
softland,awdoccont,TipDocCb,varchar,2.0,NO,16
softland,awdoccont,NumDocCb,float,,YES,17
softland,awdoccont,MovFe,datetime,,YES,18
softland,awdoccont,MovFv,datetime,,YES,19
softland,awdoccont,MovTipDocRef,varchar,2.0,NO,20
softland,awdoccont,MovNumDocRef,float,,YES,21
softland,awdoccont,MovDebe,float,,YES,22
softland,awdoccont,MovHaber,float,,YES,23
softland,awdoccont,MovGlosa,varchar,60.0,YES,24
softland,awdoccont,MonCod,varchar,2.0,NO,25
softland,awdoccont,MovEquiv,float,,YES,26
softland,awdoccont,MovDebeMa,float,,YES,27
softland,awdoccont,MovHaberMa,float,,YES,28
softland,awdoccont,usuario,varchar,8.0,NO,29
softland,awdoccont,Obs,varchar,50.0,YES,30
softland,awdoccont,codcpag,varchar,3.0,NO,31
softland,awdoccont,DliCoInt,varchar,8.0,YES,32
softland,awencargmant,CodEncarg,varchar,10.0,NO,1
softland,awencargmant,Nombre,varchar,40.0,YES,2
softland,awencargmant,Email,varchar,50.0,YES,3
softland,awfichaac,CodAct,varchar,20.0,NO,1
softland,awfichaac,Estado,varchar,1.0,NO,2
softland,awfichaac,DescAct,varchar,60.0,YES,3
softland,awfichaac,CodGru,varchar,15.0,YES,4
softland,awfichaac,CodSGru,varchar,15.0,YES,5
softland,awfichaac,CodIng,varchar,2.0,YES,6
softland,awfichaac,FecIng,datetime,,YES,7
softland,awfichaac,CodUbB,varchar,19.0,YES,8
softland,awfichaac,CodiCC,varchar,8.0,YES,9
softland,awfichaac,CodArn,varchar,3.0,YES,10
softland,awfichaac,FecUlGarVig,datetime,,YES,11
softland,awfichaac,Revalorizable,varchar,1.0,NO,12
softland,awfichaac,FecIniRev,datetime,,YES,13
softland,awfichaac,Depreciable,varchar,1.0,NO,14
softland,awfichaac,FecIniDepr,datetime,,YES,15
softland,awfichaac,UMedVUtil,varchar,1.0,NO,16
softland,awfichaac,NUMedVUtil,varchar,30.0,YES,17
softland,awfichaac,TipDeprec,varchar,1.0,NO,18
softland,awfichaac,VUtTrib,int,,YES,19
softland,awfichaac,VUtFin,int,,YES,20
softland,awfichaac,CtaCom,varchar,18.0,YES,21
softland,awfichaac,CtaRev,varchar,18.0,YES,22
softland,awfichaac,CtaDep,varchar,18.0,YES,23
softland,awfichaac,CtaRead,varchar,18.0,YES,24
softland,awfichaac,CreAdq,varchar,1.0,NO,25
softland,awfichaac,VCredAdq,float,,YES,26
softland,awfichaac,InfPartida,varchar,1.0,NO,27
softland,awfichaac,ValResid,float,,YES,28
softland,awfichaac,FecCom,datetime,,YES,29
softland,awfichaac,ValCom,float,,YES,30
softland,awfichaac,NumFac,varchar,14.0,YES,31
softland,awfichaac,CodAux,varchar,10.0,YES,32
softland,awfichaac,FSitCon,datetime,,YES,33
softland,awfichaac,VLibro,float,,YES,34
softland,awfichaac,RevAcum,float,,YES,35
softland,awfichaac,DepAcum,float,,YES,36
softland,awfichaac,VUtRemTrib,int,,YES,37
softland,awfichaac,VUtRemFin,int,,YES,38
softland,awfichaac,FecBaja,datetime,,YES,39
softland,awfichaac,CodBaja,varchar,2.0,YES,40
softland,awfichaac,GloBaja,varchar,60.0,YES,41
softland,awfichaac,Foto,varchar,100.0,YES,42
softland,awfichaac,FSitConFin,datetime,,YES,43
softland,awfichaac,VLibroFin,float,,YES,44
softland,awfichaac,RevAcumFin,float,,YES,45
softland,awfichaac,DepAcumFin,float,,YES,46
softland,awfichaac,FecIniRevFin,datetime,,YES,47
softland,awfichaac,FecIniDeprFin,datetime,,YES,48
softland,awfichaac,CodBarra,varchar,50.0,YES,49
softland,awfichaac,Readecuacion,int,,YES,50
softland,awfichaac,CodFichaReadec,varchar,20.0,YES,51
softland,awfichaac,PorcentajeActivo,float,,YES,52
softland,awfichaac,ctaRevAcumulada,varchar,50.0,YES,53
softland,awfichaac,ctaDepRevEje,varchar,18.0,YES,54
softland,awfichaac,ctaDepRevAcu,varchar,18.0,YES,55
softland,awfichaac,PorcDepAcumSI,float,,YES,56
softland,awfichaac,NumMesDepSI,int,,YES,57
softland,awfichaac,NumOC,int,,YES,58
softland,awfichaac,Leasing,varchar,1.0,YES,59
softland,awfichamemo,CodAct,varchar,20.0,NO,1
softland,awfichamemo,CodMemo,varchar,2.0,NO,2
softland,awfichamemo,InfoMemo,text,2147483647.0,YES,3
softland,awmantrealizada,CodMant,varchar,20.0,NO,1
softland,awmantrealizada,CodAct,varchar,20.0,NO,2
softland,awmantrealizada,FecProgramada,datetime,,NO,3
softland,awmantrealizada,FecRealizada,datetime,,YES,4
softland,awmantrealizada,CodEncarg,varchar,10.0,YES,5
softland,awmantrealizada,Observaciones,varchar,255.0,YES,6
softland,awmantrealizada,NumOT,varchar,20.0,YES,7
softland,awmantrealizada,Programada,int,,YES,8
softland,awmantrealizada,PathArchivo,varchar,100.0,YES,9
softland,awnotamemo,CodAct,varchar,20.0,NO,1
softland,awnotamemo,Fecha,datetime,,NO,2
softland,awnotamemo,DescripDet,text,2147483647.0,YES,3
softland,awnotas,CodAct,varchar,20.0,NO,1
softland,awnotas,Fecha,datetime,,NO,2
softland,awnotas,Descrip,varchar,60.0,YES,3
softland,awparam,ParLla,varchar,2.0,NO,1
