CodRefSII,CodRef,N
802,,2936
33,,443
801,,308
39,,167
801,,163
52,,51
60,,24
61,,17
52,,8
101,,4
50,,4
35,,2
33,,2
802,09-06-2026,2
TC,,2
802,08653,1
802,594274,1
805,,1
802,001306,1
802,003794,1
802,006018,1
802,004355,1
802,005328,1
39,,1
802,000545,1
802,006850,1
802,090182,1
802,17-06-2026,1
802,FELIPE DE LA JARA,1
802,005038,1
802,390953,1
802,182652,1
802,074250,1
802,288394,1
802,$200.000,1
802,10-06-2026,1
802,667761,1
802,002710,1
802,885327,1
802,173162,1
802,259542,1
802,007843,1
802,1506,1
802,071948,1
802,916412,1
61,$38.900,1
802,965119,1
802,253176,1
802,454148,1
802,004449,1
802,007476,1
30,,1
802,015107,1
802,735293,1
802,915426,1
802,942435,1
802,|,1
802,366230,1
802,112879,1
802,734689,1
802,450185,1
TD,,1
802,612089,1
802,30061898,1
802,561553,1
802,889623,1
802,764356878,1
802,003362,1
802,910185,1
802,467069,1
802,009339,1
802,745580,1
802,946873,1
802,002747,1
802,257588,1
802,491463,1
802,868674,1
802,553587,1
802,010932,1
802,002938,1
802,152160,1
802,003194,1
802,105761,1
TD,545489,1
802,163459,1
802,15-06,1
802,003922,1
80T,,1
802,002354,1
802,$43.641,1
TF,,1
802,362262,1
802,470656,1
802,505261,1
802,405058,1
802,024676,1
802,013418,1
802,504437,1
802,004594,1
802,539100,1
802,484818,1
802,$15.800,1
802,006825,1
61,,1
802,004585,1
802,269582,1
802,$164.568,1
802,000050,1
802,507783,1
802,200069,1
802,512170,1
802,490224,1
