Esquema,Tabla,Tipo,Filas
dbo,dtproperties,USER_TABLE,0
softland,aw_vsnp_ValorHist,VIEW,0
softland,awcapturadef,USER_TABLE,49
softland,awcapturarelacion,USER_TABLE,49
softland,awdetlicont,USER_TABLE,0
softland,awdoccont,USER_TABLE,0
softland,awencargmant,USER_TABLE,0
softland,awfichaac,USER_TABLE,0
softland,awfichamemo,USER_TABLE,0
softland,awmantrealizada,USER_TABLE,0
softland,awnotamemo,USER_TABLE,0
softland,awnotas,USER_TABLE,0
softland,awparam,USER_TABLE,1
softland,awplanmantact,USER_TABLE,0
softland,awprocesoscaptura,USER_TABLE,2
softland,awprodu,USER_TABLE,0
softland,awreadec,USER_TABLE,0
softland,awreadmemo,USER_TABLE,0
softland,awrestri,USER_TABLE,0
softland,awtcbaj,USER_TABLE,0
softland,awtcing,USER_TABLE,0
softland,awtgrup,USER_TABLE,0
softland,awtipomant,USER_TABLE,0
softland,awtomainv,USER_TABLE,0
softland,awtomainvdesc,USER_TABLE,0
softland,awtomainvdet,USER_TABLE,0
softland,awtresp,USER_TABLE,0
softland,awtsubgr,USER_TABLE,0
softland,awtubic,USER_TABLE,0
softland,awubicaciones,USER_TABLE,0
softland,b2c_buscavalores,USER_TABLE,112
softland,boletemp,USER_TABLE,0
softland,boletemp2,USER_TABLE,0
softland,boletpro,USER_TABLE,120
softland,boletpro2,USER_TABLE,49
softland,cab_form,USER_TABLE,0
softland,CONTABCOSTOS,USER_TABLE,1044
softland,CONTABCOSTOSDET,USER_TABLE,776
softland,CONTABCOSTOSINF,USER_TABLE,148
softland,cw_clasificadorcuentas,USER_TABLE,7
softland,CW_CpbteBitacoraAprob,USER_TABLE,0
softland,cw_ctasajustesii,USER_TABLE,38
softland,cw_ctasajustesii_2014,USER_TABLE,207
softland,cw_ctasajustesii_2014_sup,USER_TABLE,337
softland,cw_ctasajustesii_anexo,USER_TABLE,2512
softland,cw_ctassii,USER_TABLE,259
softland,cw_ctassii_2014,USER_TABLE,114
softland,cw_ctassii_2014_sup,USER_TABLE,222
softland,cw_ctassii_2016,USER_TABLE,143
softland,cw_ctassii_balance,USER_TABLE,98
softland,cw_ctassii_ifrs,USER_TABLE,55
softland,cw_ctassii_sbif,USER_TABLE,645
softland,cw_ctassii_svs,USER_TABLE,233
softland,cw_ctassiilarga_2017_sup,USER_TABLE,1553
softland,cw_ctassiilce,USER_TABLE,177
softland,cw_ctassiilce_pctas,USER_TABLE,0
softland,cw_declara33xx,USER_TABLE,1
softland,cw_declara33xxcolsel,USER_TABLE,0
softland,cw_declara33xxdoc,USER_TABLE,0
softland,cw_declara33xxivanorec,USER_TABLE,0
softland,cw_declara33xxivanorecv2,USER_TABLE,0
softland,cw_declara33xxotroimp,USER_TABLE,0
softland,cw_declara33xxotroimp1,USER_TABLE,0
softland,cw_declara33xxotroimpv2,USER_TABLE,0
softland,cw_declara33xxvalores,USER_TABLE,0
softland,cw_declara33xxvaloresv2,USER_TABLE,0
softland,cw_documentodecjud,USER_TABLE,0
softland,cw_entidadsupervisora,USER_TABLE,5
softland,cw_lcedocumentoenviado,USER_TABLE,0
softland,cw_lcelogenvios,USER_TABLE,0
softland,cw_tabladec1847codsiivatrib,USER_TABLE,0
softland,Cw_TipoDoc,USER_TABLE,29
softland,cw_vsnp_CapTr,VIEW,0
softland,cw_vsnp_CapTrEstr,VIEW,0
softland,cw_vsnp_CWCOMON,VIEW,0
softland,cw_vsnp_InfBalanceCCosto,VIEW,0
softland,cw_vsnp_TraeVendedorFecE,VIEW,0
softland,CW_vsnpAlarmaSaldoCuenta,VIEW,0
softland,CW_vsnpBEsRe,VIEW,0
softland,CW_vsnpCC,VIEW,0
softland,CW_vsnpConciliacion,VIEW,0
softland,CW_vsnpCpbteSinEfeEnIfrs,VIEW,0
softland,CW_vsnpCpbteSinEfeEnTrib,VIEW,0
softland,CW_vsnpCuentas,VIEW,0
softland,CW_vsnpcwdetli_rut,VIEW,0
softland,CW_vsnpcwmovimlibro_vigente,VIEW,0
softland,CW_vsnpcwmovimlibroRut_vigente,VIEW,0
softland,CW_vsnpcwttdoc_compra,VIEW,0
softland,CW_vsnpcwttdoc_venta,VIEW,0
softland,cw_vsnpDetDocCpbte,VIEW,0
softland,CW_vsnpDetGasto,VIEW,0
softland,cw_vsnpDoctosDTE,VIEW,0
softland,cw_vsnpDoctosERP,VIEW,0
softland,cw_vsnpDoctosERP_EnlacePW,VIEW,0
softland,cw_vsnpLibroMayor,VIEW,0
softland,cw_vsnpLibroMayorA,VIEW,0
softland,cw_vsnpLibroMayorACC,VIEW,0
softland,cw_vsnpLibroMayorAM,VIEW,0
softland,cw_vsnpLibroMayorAMCC,VIEW,0
softland,cw_vsnpLibroMayorCC,VIEW,0
softland,cw_vsnpLibroMayorM,VIEW,0
softland,cw_vsnpLibroMayorMCC,VIEW,0
softland,CW_vsnpLogCWCpbte,VIEW,0
softland,cw_vsnpMovCpbtSitInicNOConc,VIEW,0
softland,CW_vsnpPiezadeSoftCartola,VIEW,0
softland,CW_vsnpPreCaja,VIEW,0
softland,cw_vsnpRutsLCDTE,VIEW,0
softland,CW_vsnpSalCtaDiaIFRS,VIEW,0
softland,CW_vsnpSalCtaDiaTrib,VIEW,0
softland,CW_vsnpSalCtaFEIFRS,VIEW,0
softland,CW_vsnpSalCtaFETrib,VIEW,0
softland,CW_vsnpSalCtaIFRS,VIEW,0
softland,CW_vsnpSalCtaIFRS_Fecha,VIEW,0
softland,CW_vsnpSalCtaTrib,VIEW,0
softland,CW_vsnpSalCtaTrib_Fecha,VIEW,0
softland,CW_vsnpSaldoCuenta,VIEW,0
softland,CW_vsnpSaldos,VIEW,0
softland,cwapcpb,USER_TABLE,0
softland,cwasistiniemp,USER_TABLE,17
softland,cwasistiniempdesc,USER_TABLE,14
softland,cwasistiniemptablas,USER_TABLE,19
softland,cwasistiniemptablasnoborrar,USER_TABLE,132
softland,cwbandamagcheque,USER_TABLE,0
softland,cwbcocta,USER_TABLE,2
softland,cwcmerr,USER_TABLE,0
softland,cwcodmovbancar,USER_TABLE,303
softland,cwcoldtelc,USER_TABLE,62
softland,cwcomon,USER_TABLE,0
softland,CWCOMONIFRS,USER_TABLE,0
softland,cwcpbte,USER_TABLE,95411
softland,cwcpbti,USER_TABLE,160
softland,cwcuadre,USER_TABLE,4
softland,cwcuotasingdoc,USER_TABLE,0
softland,cwdefer,USER_TABLE,3
softland,cwdescproclogcpbte,USER_TABLE,28
softland,cwdetingdoc,USER_TABLE,0
softland,cwdetli,USER_TABLE,80473
softland,cwdetlt,USER_TABLE,53
softland,CWDocSaldos,VIEW,0
softland,CWDocSaldosArea,VIEW,0
softland,CWDocSaldosFV,VIEW,0
softland,CWDoctosPeriodo,VIEW,0
softland,CWDoctosPeriodoArea,VIEW,0
softland,CWDoctosPeriodoResumen,VIEW,0
softland,cwdtefnx,USER_TABLE,3
softland,cwdtefnxdetli,USER_TABLE,9
softland,cwempco,USER_TABLE,1
softland,cwempgr,USER_TABLE,2
softland,cwester,USER_TABLE,145
softland,CWESTRES,VIEW,0
softland,CWESTRESIFRS,VIEW,0
softland,CWESTRESTrib,VIEW,0
softland,cwfoliossueltos,USER_TABLE,0
softland,cwforbco,USER_TABLE,9
softland,cwform29,USER_TABLE,20
softland,cwimgcheque,USER_TABLE,0
softland,CWImgDocto,USER_TABLE,0
softland,cwinfAdidoc,USER_TABLE,0
softland,cwinfAdidocTemp,USER_TABLE,0
softland,cwinfsitfinifrs,USER_TABLE,0
softland,cwingdoccv,USER_TABLE,0
softland,cwingdocrefdocs,USER_TABLE,0
softland,cwlogcpbt,USER_TABLE,137988
